time,outputValues,id,outputNames,outputUnits,occasion,timeUnits,correspondingOutputPath
0,0,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.11152933777478e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.75456193852066e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,3.87443080885285e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.42166060931257e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.5294597964588e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.47113801015047e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.29243330544392e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.07415783030303e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,3.86923444849769e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.68011654854144e-05,16,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.05446081097378e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.07611003863202e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.13098240775806e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.7885973630452e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.0240470949173e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.9748930096937e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.79623284800223e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.6559752738788e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.52094919668065e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,4.30221280862605e-05,17,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.18619996349625e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.61141516253997e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.77164325341274e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.43318826754288e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.64256898723414e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.52580388617788e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,5.26530691510597e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.99955819715738e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.75841472658684e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,4.53385951116537e-05,18,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.40544437483489e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.49040570124505e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.76461867666149e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.48145157624428e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.67912150620739e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.54606652958508e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,5.3127804249451e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,5.05366547290942e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.77705795772411e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,4.50587052192129e-05,19,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.02993345182758e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.95551608982233e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.25704232715013e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.82275928716541e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.86021728216371e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.71867223572127e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.54599938639744e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.31582751475557e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.05608994738277e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.82007188355927e-05,20,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,9.09037490921374e-06,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.89352934529896e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,3.97225573617189e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.59976007610643e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.74158390714273e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.67998049905958e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.49652118867176e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.28038122008218e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.07738826284578e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.87150541330907e-05,21,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.38515471680271e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,4.00459704071881e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,5.30128017667769e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.96342590482194e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,6.06169771884141e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.90744816404242e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,5.85916689072619e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,5.74467525407794e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,5.45947920688007e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,5.22336186585652e-05,22,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,8.6845308989407e-06,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.35108173450062e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,3.25372188696603e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,3.93639058467358e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.25491346873391e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.37115235537178e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.27493967353313e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.06132119496335e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,3.84728211724219e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.61336916094693e-05,23,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.1642413293389e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.76018740927467e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.13354813451478e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.03163305218666e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.16706920679447e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.01062871648931e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.74215356754765e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.47412508994583e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.2277158166938e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,4.00361965617792e-05,24,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,9.88880652699371e-06,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.0513779938523e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.50391436596015e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.29322869436028e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.44962954660517e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.36756196722132e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,5.17485832953654e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.8216035213115e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.4686669975108e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,4.13571588836927e-05,25,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.04938056479319e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.14894255684188e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.2811034705466e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.01925621277257e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.17871888455808e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.11709998326721e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.96358590699502e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.80807548758384e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.72091273872318e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,4.64232024914169e-05,26,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.21845752505642e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.14336300070528e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.2875282065038e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.69195381022302e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.67724339121096e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.58165580328778e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.38934239386813e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.12828938755596e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,3.89966405702465e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.70732076831807e-05,27,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,8.76410134769805e-06,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.75437708483281e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,3.73075988137551e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.24620351548485e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.33639352119222e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.24584881936102e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.07038669810378e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,3.87958396550925e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,3.7340817810696e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.64027038925657e-05,28,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.48294930773651e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.72219675472714e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.94027350055633e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.70340907763349e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,6.1281658480812e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,6.07658787244039e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,5.89095165386284e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,5.68603074341558e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,5.43471112748736e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,5.1395898672297e-05,29,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.14053203773451e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.15014511636132e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.16325649927101e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.54649599295426e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.59342332046898e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.50376793641128e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.41093253113024e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.29308247973428e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.091518130621e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.82460461879688e-05,30,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
